PARTICIPANT DETAILS----------------------------------------------,,,,,,,,,,,,,,,,,,,,
NAME:,P8 BSE,,,,,,,,,,,,,,,,,,,
AGE:,25,,,,,,LL2,,LL3,,,LL4,,,,LL5,,,,
SCHOOL/COLLEGE:,Staff,,,,,,SP1,SP2,SP1,SP2,SP3,SP1,SP2,SP3,SP4,SP1,SP2,SP3,SP4,SP5
DATE:,Thursday, May 26,2005,,,T1,1,1,0,1,0,1,1,0,1,-,-,-,-,-
TIME:,1:40 pm,,,,,T2,1,1,1,1,1,1,1,0,1,-,-,-,-,-
EXPERIMENT:,Verbal Recall,,,,,T3,1,1,1,1,1,1,0,1,1,-,-,-,-,-
SELECTED SET:,Random Sentences B,,,,,,,,,,,,,,,,,,,
SELECTED ORDER:,Order A,,,,,,,,,,,,,,,,,,,
DIRECTION:,Ascending,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PRACTICE RESULTS----------------------------------------------,,,,,,,,,,,,,,,,,,,,
Task:,Verbal Recall,,,,,,,,,,,,,,,,,,,
List Length 2:,Correct(6.633333,3.533333),Correct(2.6,2.266667),,,,,,,,,,,,,,,,
Task:,Word Task,,,,,,,,,,,,,,,,,,,
List Length 2:,Not completed,Not completed,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PRACTICE STAGE---------------------------------------------------,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
First Stage PRACTICE Results,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,An insect that buzzes is called a bee,A spider catches flies in its web,,,,,,,,,,,,,,,,,,
Presentation Time:,6.633333,3.533333,,,,,,,,,,,,,,,,,,
Target: ,bee,web,,,,,,,,,,,,,,,,,,
Response:,bee,web,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,The cat sat on the mat,The cow jumped over the moon,,,,,,,,,,,,,,,,,,
Presentation Time:,2.6,2.266667,,,,,,,,,,,,,,,,,,
Target: ,mat,moon,,,,,,,,,,,,,,,,,,
Response:,mat,moon,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
List Length Two Score:,02-Feb,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
MAIN EXPERIMENT-------------------------------------------,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
First Stage Results:,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,Snow is very cold and the colour white,An important woman with a crown is called a queen,,,,,,,,,,,,,,,,,,
Presentation Time:,3.216667,3.7,,,,,SP1,SP2,,,,Trial Correct,,,,,,,,
Target: ,white,queen,,,,,1,1,,,,1,,,,,,,,
Response:,white,queen,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,The post box on the street is coloured red,In the middle of a fire it feels very hot,,,,,,,,,,,,,,,,,,
Presentation Time:,3.666667,3.566667,,,,,SP1,SP2,,,,Trial Correct,,,,,,,,
Target: ,red,hot,,,,,1,1,,,,1,,,,,,,,
Response:,red,hot,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,Jane went to the baker who made a loaf of bread,If my hair gets too long I have it cut,,,,,,,,,,,,,,,,,,
Presentation Time:,3.816667,3.233333,,,,,SP1,SP2,,,,Trial Correct,,,,,,,,
Target: ,bread,cut,,,,,1,1,,,,1,,,,,,,,
Response:,bread,cut,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
List Length Two Score:,03-Mar,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,3,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,The clown had a big smiling face,The farmer and his sheep and pigs live on a farm,If it is cold I put a hat on my head,,,,,,,,,,,,,,,,,
Presentation Time:,3.566667,3.816667,4.233333,,,,SP1,SP2,SP3,,,Trial Correct,,,,,,,,
Target: ,face,farm,head,,,,0,1,0,,,0,,,,,,,,
Response:,pig,farm,hat,,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
