PARTICIPANT DETAILS----------------------------------------------,,,,,,,,,,,,,,,,,,,,
NAME:,P6 BSE,,,,,,,,,,,,,,,,,,,
AGE:,20,,,,,,LL2,,LL3,,,LL4,,,,LL5,,,,
SCHOOL/COLLEGE:,UG2,,,,,,SP1,SP2,SP1,SP2,SP3,SP1,SP2,SP3,SP4,SP1,SP2,SP3,SP4,SP5
DATE:,Wednesday, May 25,2005,,,T1,1,1,0,0,1,1,0,0,0,-,-,-,-,-
TIME:,1:51 pm,,,,,T2,1,1,1,1,1,0,1,0,0,-,-,-,-,-
EXPERIMENT:,Verbal Recall,,,,,T3,0,1,1,1,1,1,1,0,1,-,-,-,-,-
SELECTED SET:,Random Sentences B,,,,,,,,,,,,,,,,,,,
SELECTED ORDER:,Order A,,,,,,,,,,,,,,,,,,,
DIRECTION:,Ascending,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PRACTICE RESULTS----------------------------------------------,,,,,,,,,,,,,,,,,,,,
Task:,Verbal Recall,,,,,,,,,,,,,,,,,,,
List Length 2:,Correct(6.6,3.183333),Correct(6.05,2.583333),,,,,,,,,,,,,,,,
Task:,Word Task,,,,,,,,,,,,,,,,,,,
List Length 2:,Not completed,Not completed,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PRACTICE STAGE---------------------------------------------------,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
First Stage PRACTICE Results,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,An insect that buzzes is called a bee,A spider catches flies in its web,,,,,,,,,,,,,,,,,,
Presentation Time:,6.6,3.183333,,,,,,,,,,,,,,,,,,
Target: ,bee,web,,,,,,,,,,,,,,,,,,
Response:,bee,web,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,The cat sat on the mat,The cow jumped over the moon,,,,,,,,,,,,,,,,,,
Presentation Time:,6.05,2.583333,,,,,,,,,,,,,,,,,,
Target: ,mat,moon,,,,,,,,,,,,,,,,,,
Response:,mat,moon,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
List Length Two Score:,02-Feb,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
MAIN EXPERIMENT-------------------------------------------,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
First Stage Results:,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,The big noisy dog chased the cat,Ben ran faster so that he could win the race,,,,,,,,,,,,,,,,,,
Presentation Time:,2.833333,3.166667,,,,,SP1,SP2,,,,Trial Correct,,,,,,,,
Target: ,cat,race,,,,,1,1,,,,1,,,,,,,,
Response:,cat,race,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,At night time I go to sleep in my bed,An elephant's long nose is called a trunk,,,,,,,,,,,,,,,,,,
Presentation Time:,2.85,3.05,,,,,SP1,SP2,,,,Trial Correct,,,,,,,,
Target: ,bed,trunk,,,,,1,1,,,,1,,,,,,,,
Response:,bed,trunk,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,My nice white teeth are in my mouth,In the middle of a fire it feels very hot,,,,,,,,,,,,,,,,,,
Presentation Time:,3.4,2.65,,,,,SP1,SP2,,,,Trial Correct,,,,,,,,
Target: ,mouth,hot,,,,,0,1,,,,0,,,,,,,,
Response:,TEETH,hot,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
List Length Two Score:,03-Mar,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,3,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,I can tell what the time is with my wrist watch,If it is cold I put a hat on my head,Daffy is a duck and Snoopy is a dog,,,,,,,,,,,,,,,,,
Presentation Time:,3.3,3.866667,3,,,,SP1,SP2,SP3,,,Trial Correct,,,,,,,,
Target: ,watch,head,dog,,,,0,0,1,,,0,,,,,,,,
Response:,dk,hat,dog,,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,3,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,Jane went to the baker who made a loaf of bread,The number after two and three is four,Jim sometimes goes out to eat fish and chips,,,,,,,,,,,,,,,,,
Presentation Time:,3.8,4.383333,3.283333,,,,SP1,SP2,SP3,,,Trial Correct,,,,,,,,
Target: ,bread,four,chips,,,,1,1,1,,,1,,,,,,,,
Response:,bread,four,chips,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,3,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,The farmer and his sheep and pigs live on a farm,When he did the trick the magician waved his magic wand,He rowed across the river in a rowing boat,,,,,,,,,,,,,,,,,
Presentation Time:,3.766667,3.5,3.333333,,,,SP1,SP2,SP3,,,Trial Correct,,,,,,,,
Target: ,farm,wand,boat,,,,1,1,1,,,1,,,,,,,,
Response:,farm,wand,boat,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
List Length Three Score:,02-Mar,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,4,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,I blew the candles out on my birthday cake,'Quack quack' said the mother to the little duck,If I am cold on my hands I should wear my gloves,On my hand I have four fingers and one thumb,,,,,,,,,,,,,,,,
Presentation Time:,3.883333,2.933333,3.3,4.033333,,,SP1,SP2,SP3,SP4,,Trial Correct,,,,,,,,
Target: ,cake,duck,gloves,thumb,,,1,0,0,0,,0,,,,,,,,
Response:,cake,dk,duck,hand,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,4,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,I put on my helmet and went for a bicycle ride,The farm animals that wool comes from are sheep,When it is dark we can see stars at night,I went to the swimming pool with Dad to swim,,,,,,,,,,,,,,,,
Presentation Time:,3.55,4.816667,3.25,2.983333,,,SP1,SP2,SP3,SP4,,Trial Correct,,,,,,,,
Target: ,ride,sheep,night,swim,,,0,1,0,0,,0,,,,,,,,
Response:,dk,sheep,stars,dk,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,4,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,The clown had a big smiling face,The leaves grow in the big tall trees,On the pirate ship they found silver and gold,Robin likes to spend all of his money at a sweet shop,,,,,,,,,,,,,,,,
Presentation Time:,2.35,2.733333,3.283333,4.433333,,,SP1,SP2,SP3,SP4,,Trial Correct,,,,,,,,
