PARTICIPANT DETAILS----------------------------------------------,,,,,,,,,,,,,,,,,,,,
NAME:,P12 BSE,,,,,,,,,,,,,,,,,,,
AGE:,19,,,,,,LL2,,LL3,,,LL4,,,,LL5,,,,
SCHOOL/COLLEGE:,UG1,,,,,,SP1,SP2,SP1,SP2,SP3,SP1,SP2,SP3,SP4,SP1,SP2,SP3,SP4,SP5
DATE:,Friday, June 03,2005,,,T1,1,1,1,1,1,1,0,0,0,1,0,0,0,0
TIME:,2:34 pm,,,,,T2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EXPERIMENT:,Verbal Recall,,,,,T3,1,1,1,1,0,0,0,0,0,1,1,0,1,1
SELECTED SET:,Random Sentences A,,,,,,,,,,,,,,,,,,,
SELECTED ORDER:,Order A,,,,,,,,,,,,,,,,,,,
DIRECTION:,Ascending,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PRACTICE RESULTS----------------------------------------------,,,,,,,,,,,,,,,,,,,,
Task:,Verbal Recall,,,,,,,,,,,,,,,,,,,
List Length 2:,Correct(9.583333,6.35),Correct(2.233333,2.116667),,,,,,,,,,,,,,,,
Task:,Word Task,,,,,,,,,,,,,,,,,,,
List Length 2:,Not completed,Not completed,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PRACTICE STAGE---------------------------------------------------,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
First Stage PRACTICE Results,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,An insect that buzzes is called a bee,A spider catches flies in its web,,,,,,,,,,,,,,,,,,
Presentation Time:,9.583333,6.35,,,,,,,,,,,,,,,,,,
Target: ,bee,web,,,,,,,,,,,,,,,,,,
Response:,bee,web,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,The cat sat on the mat,The cow jumped over the moon,,,,,,,,,,,,,,,,,,
Presentation Time:,2.233333,2.116667,,,,,,,,,,,,,,,,,,
Target: ,mat,moon,,,,,,,,,,,,,,,,,,
Response:,mat,moon,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
List Length Two Score:,02-Feb,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
MAIN EXPERIMENT-------------------------------------------,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
First Stage Results:,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,I have a tooth brush to help clean my teeth,We wear a coat when we are cold,,,,,,,,,,,,,,,,,,
Presentation Time:,3.45,2.433333,,,,,SP1,SP2,,,,Trial Correct,,,,,,,,
Target: ,teeth,cold,,,,,1,1,,,,1,,,,,,,,
Response:,teeth,cold,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,The window in my house is made of glass,The complete opposite of long is short,,,,,,,,,,,,,,,,,,
Presentation Time:,3.166667,2.783333,,,,,SP1,SP2,,,,Trial Correct,,,,,,,,
Target: ,glass,short,,,,,1,1,,,,1,,,,,,,,
Response:,glass,short,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,The football team scored the winning goal,If I hear a joke it makes me laugh,,,,,,,,,,,,,,,,,,
Presentation Time:,2.783333,2.433333,,,,,SP1,SP2,,,,Trial Correct,,,,,,,,
Target: ,goal,laugh,,,,,1,1,,,,1,,,,,,,,
Response:,goal,laugh,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
List Length Two Score:,03-Mar,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,3,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,You can build a house with bricks,Food and water makes plants grow,Twinkle twinkle goes the little star,,,,,,,,,,,,,,,,,
Presentation Time:,2.666667,3,2.65,,,,SP1,SP2,SP3,,,Trial Correct,,,,,,,,
Target: ,bricks,grow,star,,,,1,1,1,,,1,,,,,,,,
Response:,bricks,grow,star,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,3,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,I wear shoes and socks on my feet,A mother cat has baby kittens,We have to stop look and listen,,,,,,,,,,,,,,,,,
Presentation Time:,2.733333,2.216667,2.4,,,,SP1,SP2,SP3,,,Trial Correct,,,,,,,,
Target: ,feet,kittens,listen,,,,1,1,1,,,1,,,,,,,,
Response:,feet,KITTENS,LISTEN,,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,3,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,The next number after eight is nine,The opposite of something bad is something good,I can smell lots of smells with my nose,,,,,,,,,,,,,,,,,
Presentation Time:,3.166667,2.9,2.9,,,,SP1,SP2,SP3,,,Trial Correct,,,,,,,,
Target: ,nine,good,nose,,,,1,1,0,,,0,,,,,,,,
Response:,nine,good,smells,,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
List Length Three Score:,01-Mar,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,4,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,An important man with a crown is called a king,The bus driver's job is to drive the bus,The mother chicken laid an egg,I went to the cinema and watched a film,,,,,,,,,,,,,,,,
Presentation Time:,3.116667,2.816667,2.433333,2.55,,,SP1,SP2,SP3,SP4,,Trial Correct,,,,,,,,
Target: ,king,bus,egg,film,,,1,0,0,0,,0,,,,,,,,
Response:,king,film,dk,dk,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,4,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,A cow eats long green grass,To make a snowman you need snow,At night I go to bed and fall asleep,Mum likes to sit down in an arm chair,,,,,,,,,,,,,,,,
Presentation Time:,2.75,2.616667,2.783333,2.816667,,,SP1,SP2,SP3,SP4,,Trial Correct,,,,,,,,
Target: ,grass,snow,asleep,chair,,,1,1,1,1,,1,,,,,,,,
Response:,grass,snow,asleep,chair,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,4,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,The cat likes drinking milk,After lunch Jack and Jill went up the hill,The fireman came to put out the fire,The grass in the fields is coloured green,,,,,,,,,,,,,,,,
Presentation Time:,2.5,3.033333,2.633333,3.116667,,,SP1,SP2,SP3,SP4,,Trial Correct,,,,,,,,
Target: ,milk,hill,fire,green,,,0,0,0,0,,0,,,,,,,,
Response:,hill,fire,green,dk,,,,,,,,,,,,,,,,
