PARTICIPANT DETAILS----------------------------------------------,,,,,,,,,,,,,,,,,,,,
NAME:,P7 BSE,,,,,,,,,,,,,,,,,,,
AGE:,20,,,,,,LL2,,LL3,,,LL4,,,,LL5,,,,
SCHOOL/COLLEGE:,UG2,,,,,,SP1,SP2,SP1,SP2,SP3,SP1,SP2,SP3,SP4,SP1,SP2,SP3,SP4,SP5
DATE:,Thursday, May 26,2005,,,T1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
TIME:,11:31 am,,,,,T2,1,1,1,1,1,1,0,0,0,0,0,1,1,1
EXPERIMENT:,Verbal Recall,,,,,T3,1,1,1,1,1,1,1,1,1,1,1,1,0,1
SELECTED SET:,Random Sentences A,,,,,,,,,,,,,,,,,,,
SELECTED ORDER:,Order A,,,,,,,,,,,,,,,,,,,
DIRECTION:,Ascending,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PRACTICE RESULTS----------------------------------------------,,,,,,,,,,,,,,,,,,,,
Task:,Verbal Recall,,,,,,,,,,,,,,,,,,,
List Length 2:,Correct(7.183333,3.866667),Correct(2.75,2.366667),,,,,,,,,,,,,,,,
Task:,Word Task,,,,,,,,,,,,,,,,,,,
List Length 2:,Not completed,Not completed,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PRACTICE STAGE---------------------------------------------------,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
First Stage PRACTICE Results,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,An insect that buzzes is called a bee,A spider catches flies in its web,,,,,,,,,,,,,,,,,,
Presentation Time:,7.183333,3.866667,,,,,,,,,,,,,,,,,,
Target: ,bee,web,,,,,,,,,,,,,,,,,,
Response:,bee,web,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,The cat sat on the mat,The cow jumped over the moon,,,,,,,,,,,,,,,,,,
Presentation Time:,2.75,2.366667,,,,,,,,,,,,,,,,,,
Target: ,mat,moon,,,,,,,,,,,,,,,,,,
Response:,mat,moon,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
List Length Two Score:,02-Feb,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
MAIN EXPERIMENT-------------------------------------------,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
First Stage Results:,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,I like to play with my teddy bear,I wear shoes and socks on my feet,,,,,,,,,,,,,,,,,,
Presentation Time:,2.733333,2.633333,,,,,SP1,SP2,,,,Trial Correct,,,,,,,,
Target: ,bear,feet,,,,,1,1,,,,1,,,,,,,,
Response:,bear,feet,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,I can smell lots of smells with my nose,I paint on paper with a paint brush,,,,,,,,,,,,,,,,,,
Presentation Time:,2.783333,2.533333,,,,,SP1,SP2,,,,Trial Correct,,,,,,,,
Target: ,nose,brush,,,,,1,1,,,,1,,,,,,,,
Response:,nose,brush,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,I have a tooth brush to help clean my teeth,The mother chicken laid an egg,,,,,,,,,,,,,,,,,,
Presentation Time:,2.95,2.05,,,,,SP1,SP2,,,,Trial Correct,,,,,,,,
Target: ,teeth,egg,,,,,1,1,,,,1,,,,,,,,
Response:,teeth,egg,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
List Length Two Score:,03-Mar,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,3,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,The grass in the fields is coloured green,Food and water makes plants grow,Twinkle twinkle goes the little star,,,,,,,,,,,,,,,,,
Presentation Time:,2.8,2.616667,2.25,,,,SP1,SP2,SP3,,,Trial Correct,,,,,,,,
Target: ,green,grow,star,,,,1,1,1,,,1,,,,,,,,
Response:,green,grow,star,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,3,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,We see things with our eyes,I am very thirsty and I really want a drink,The colour of a banana is bright yellow,,,,,,,,,,,,,,,,,
Presentation Time:,2.35,2.75,2.716667,,,,SP1,SP2,SP3,,,Trial Correct,,,,,,,,
Target: ,eyes,drink,yellow,,,,1,1,1,,,1,,,,,,,,
Response:,eyes,drink,yellow,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,3,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,The fireman came to put out the fire,The complete opposite of long is short,'Moo moo' said the black and white cow,,,,,,,,,,,,,,,,,
Presentation Time:,3.716667,2.266667,2.566667,,,,SP1,SP2,SP3,,,Trial Correct,,,,,,,,
Target: ,fire,short,cow,,,,1,1,1,,,1,,,,,,,,
Response:,fire,short,cow,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
List Length Three Score:,03-Mar,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,4,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,Every day I wash and comb my hair,Mum likes to sit down in an arm chair,A cow eats long green grass,I eat my dinner with a knife and fork,,,,,,,,,,,,,,,,
Presentation Time:,2.7,2.616667,2.5,2.266667,,,SP1,SP2,SP3,SP4,,Trial Correct,,,,,,,,
Target: ,hair,chair,grass,fork,,,1,1,1,1,,1,,,,,,,,
Response:,hair,chair,grass,fork,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,4,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,My friends and I play hide and seek,Mum and I read a story from a book,After lunch Jack and Jill went up the hill,The bus driver's job is to drive the bus,,,,,,,,,,,,,,,,
Presentation Time:,2.583333,2.483333,2.666667,2.633333,,,SP1,SP2,SP3,SP4,,Trial Correct,,,,,,,,
Target: ,seek,book,hill,bus,,,1,0,0,0,,0,,,,,,,,
Response:,seek,hill,bus,book,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,4,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,The dog was so happy he wagged his tail,Mary got home and unlocked the door,If I hear a joke it makes me laugh,To make a snowman you need snow,,,,,,,,,,,,,,,,
Presentation Time:,2.85,2.666667,2.316667,2.066667,,,SP1,SP2,SP3,SP4,,Trial Correct,,,,,,,,
Target: ,tail,door,laugh,snow,,,1,1,1,1,,1,,,,,,,,
Response:,tail,door,laugh,snow,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
List Length Four Score:,37316,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,5,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,We have to stop look and listen,A mother cat has baby kittens,At night I go to bed and fall asleep,Ben laughed and then clapped his hands,The cat likes drinking milk,,,,,,,,,,,,,,,
Presentation Time:,3.516667,2.316667,2.683333,2.783333,2.35,,SP1,SP2,SP3,SP4,SP5,Trial Correct,,,,,,,,
Target: ,listen,kittens,asleep,hands,milk,,0,0,0,0,1,0,,,,,,,,
Response:,sleep,dk,laugh,dk,milk,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,5,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,The window in my house is made of glass,You can build a house with bricks,The big spider has eight hairy legs,The next number after four is five,An important man with a crown is called a king,,,,,,,,,,,,,,,
Presentation Time:,3.283333,1.983333,4.533333,2.583333,2.616667,,SP1,SP2,SP3,SP4,SP5,Trial Correct,,,,,,,,
Target: ,glass,bricks,legs,five,king,,0,0,1,1,1,0,,,,,,,,
Response:,house,hairy,legs,five,king,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,5,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,Jane skips with a skipping rope,They played soccer with a foot ball,The next number after eight is nine,I went to the cinema and watched a film,The opposite of something bad is something good,,,,,,,,,,,,,,,
Presentation Time:,2.683333,2.483333,2.4,2.383333,2.75,,SP1,SP2,SP3,SP4,SP5,Trial Correct,,,,,,,,
Target: ,rope,ball,nine,film,good,,1,1,1,0,1,0,,,,,,,,
Response:,rope,ball,nine,dk,good,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
List Length Five Score:,0/3,,,,,,,,,,,,,,,,,,,
