PARTICIPANT DETAILS----------------------------------------------,,,,,,,,,,,,,,,,,,,,
NAME:,P2 BSE,,,,,,,,,,,,,,,,,,,
AGE:,20,,,,,,LL2,,LL3,,,LL4,,,,LL5,,,,
SCHOOL/COLLEGE:,UG2,,,,,,SP1,SP2,SP1,SP2,SP3,SP1,SP2,SP3,SP4,SP1,SP2,SP3,SP4,SP5
DATE:,Tuesday, May 24,2005,,,T1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
TIME:,11:34 am,,,,,T2,1,1,1,1,1,1,1,1,1,1,1,1,0,1
EXPERIMENT:,Verbal Recall,,,,,T3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SELECTED SET:,Random Sentences B,,,,,,,,,,,,,,,,,,,
SELECTED ORDER:,Order A,,,,,,,,,,,,,,,,,,,
DIRECTION:,Ascending,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PRACTICE RESULTS----------------------------------------------,,,,,,,,,,,,,,,,,,,,
Task:,Verbal Recall,,,,,,,,,,,,,,,,,,,
List Length 2:,Correct(10.233333,3.25),Correct(2.633333,2.383333),,,,,,,,,,,,,,,,
Task:,Word Task,,,,,,,,,,,,,,,,,,,
List Length 2:,Not completed,Not completed,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PRACTICE STAGE---------------------------------------------------,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
First Stage PRACTICE Results,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,An insect that buzzes is called a bee,A spider catches flies in its web,,,,,,,,,,,,,,,,,,
Presentation Time:,10.233333,3.25,,,,,,,,,,,,,,,,,,
Target: ,bee,web,,,,,,,,,,,,,,,,,,
Response:,bee,web,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,The cat sat on the mat,The cow jumped over the moon,,,,,,,,,,,,,,,,,,
Presentation Time:,2.633333,2.383333,,,,,,,,,,,,,,,,,,
Target: ,mat,moon,,,,,,,,,,,,,,,,,,
Response:,mat,moon,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
List Length Two Score:,02-Feb,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
MAIN EXPERIMENT-------------------------------------------,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
First Stage Results:,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,Jim sometimes goes out to eat fish and chips,The next number after one and two is three,,,,,,,,,,,,,,,,,,
Presentation Time:,3.233333,3.1,,,,,SP1,SP2,,,,Trial Correct,,,,,,,,
Target: ,chips,three,,,,,1,1,,,,1,,,,,,,,
Response:,chips,three,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,Daffy is a duck and Snoopy is a dog,The leaves grow in the big tall trees,,,,,,,,,,,,,,,,,,
Presentation Time:,3.583333,2.65,,,,,SP1,SP2,,,,Trial Correct,,,,,,,,
Target: ,dog,trees,,,,,1,1,,,,1,,,,,,,,
Response:,dog,trees,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,While I was sleeping I had a strange dream,To see in the dark you can turn on a light,,,,,,,,,,,,,,,,,,
Presentation Time:,3.35,2.983333,,,,,SP1,SP2,,,,Trial Correct,,,,,,,,
Target: ,dream,light,,,,,1,1,,,,1,,,,,,,,
Response:,dream,light,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
List Length Two Score:,03-Mar,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,3,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,On my hand I have four fingers and one thumb,He rowed across the river in a rowing boat,A dog is an animal and a robin is a bird,,,,,,,,,,,,,,,,,
Presentation Time:,3.7,2.85,2.9,,,,SP1,SP2,SP3,,,Trial Correct,,,,,,,,
Target: ,thumb,boat,bird,,,,1,1,1,,,1,,,,,,,,
Response:,thumb,boat,bird,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,3,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,I can tell what the time is with my wrist watch,When it is dark we can see stars at night,Robin likes to spend all of his money at a sweet shop,,,,,,,,,,,,,,,,,
Presentation Time:,3.566667,3.15,3.5,,,,SP1,SP2,SP3,,,Trial Correct,,,,,,,,
Target: ,watch,night,shop,,,,1,1,1,,,1,,,,,,,,
Response:,watch,night,shop,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,3,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,At lunchtime I cut my food with a knife,If I don't have a coat and it rains I will get wet,The post box on the street is coloured red,,,,,,,,,,,,,,,,,
Presentation Time:,2.966667,3.4,3.1,,,,SP1,SP2,SP3,,,Trial Correct,,,,,,,,
Target: ,knife,wet,red,,,,1,1,1,,,1,,,,,,,,
Response:,knife,wet,red,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
List Length Three Score:,03-Mar,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,4,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,The number after two and three is four,If it is cold I put a hat on my head,'Quack quack' said the mother to the little duck,The farmer and his sheep and pigs live on a farm,,,,,,,,,,,,,,,,
Presentation Time:,3.3,2.95,3.25,3.1,,,SP1,SP2,SP3,SP4,,Trial Correct,,,,,,,,
Target: ,four,head,duck,farm,,,1,1,1,1,,1,,,,,,,,
Response:,four,head,duck,farm,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,4,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,If I am cold on my hands I should wear my gloves,Snow is very cold and the colour white,The big noisy dog chased the cat,An elephant's long nose is called a trunk,,,,,,,,,,,,,,,,
Presentation Time:,3.55,2.7,3.066667,3.183333,,,SP1,SP2,SP3,SP4,,Trial Correct,,,,,,,,
Target: ,gloves,white,cat,trunk,,,1,1,1,1,,1,,,,,,,,
Response:,gloves,white,cat,trunk,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,4,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,The farm animals that wool comes from are sheep,I went to the swimming pool with Dad to swim,The clown had a big smiling face,A dog is in the park and it runs very fast,,,,,,,,,,,,,,,,
Presentation Time:,3.716667,2.45,2.65,3.633333,,,SP1,SP2,SP3,SP4,,Trial Correct,,,,,,,,
Target: ,sheep,swim,face,fast,,,1,1,1,1,,1,,,,,,,,
Response:,sheep,swim,face,fast,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
List Length Four Score:,37317,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,5,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,I put on my helmet and went for a bicycle ride,The snail lost the race because it is very slow,The rocket made a noise as it went into outer space,An important woman with a crown is called a queen,Birds flap and flap their wings to fly,,,,,,,,,,,,,,,
Presentation Time:,3.65,3.25,3.683333,3.15,2.916667,,SP1,SP2,SP3,SP4,SP5,Trial Correct,,,,,,,,
Target: ,ride,slow,space,queen,fly,,1,0,0,0,0,0,,,,,,,,
Response:,ride,fly,run,fast,watch,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
