PARTICIPANT DETAILS----------------------------------------------,,,,,,,,,,,,,,,,,,,,
NAME:,P13 BSE,,,,,,,,,,,,,,,,,,,
AGE:,22,,,,,,LL2,,LL3,,,LL4,,,,LL5,,,,
SCHOOL/COLLEGE:,UG3,,,,,,SP1,SP2,SP1,SP2,SP3,SP1,SP2,SP3,SP4,SP1,SP2,SP3,SP4,SP5
DATE:,Wednesday, June 08,2005,,,T1,1,1,1,1,1,1,1,0,1,-,-,-,-,-
TIME:,11:09 am,,,,,T2,1,1,1,1,1,0,0,0,1,-,-,-,-,-
EXPERIMENT:,Verbal Recall,,,,,T3,1,1,0,0,1,0,0,0,1,-,-,-,-,-
SELECTED SET:,Random Sentences A,,,,,,,,,,,,,,,,,,,
SELECTED ORDER:,Order A,,,,,,,,,,,,,,,,,,,
DIRECTION:,Ascending,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PRACTICE RESULTS----------------------------------------------,,,,,,,,,,,,,,,,,,,,
Task:,Verbal Recall,,,,,,,,,,,,,,,,,,,
List Length 2:,Correct(6.133333,5.683333),Correct(2.083333,1.7),,,,,,,,,,,,,,,,
Task:,Word Task,,,,,,,,,,,,,,,,,,,
List Length 2:,Not completed,Not completed,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PRACTICE STAGE---------------------------------------------------,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
First Stage PRACTICE Results,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,An insect that buzzes is called a bee,A spider catches flies in its web,,,,,,,,,,,,,,,,,,
Presentation Time:,6.133333,5.683333,,,,,,,,,,,,,,,,,,
Target: ,bee,web,,,,,,,,,,,,,,,,,,
Response:,bee,web,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,The cat sat on the mat,The cow jumped over the moon,,,,,,,,,,,,,,,,,,
Presentation Time:,2.083333,1.7,,,,,,,,,,,,,,,,,,
Target: ,mat,moon,,,,,,,,,,,,,,,,,,
Response:,mat,moon,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
List Length Two Score:,02-Feb,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
MAIN EXPERIMENT-------------------------------------------,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
First Stage Results:,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,I like to play with my teddy bear,A cow eats long green grass,,,,,,,,,,,,,,,,,,
Presentation Time:,2.333333,2.216667,,,,,SP1,SP2,,,,Trial Correct,,,,,,,,
Target: ,bear,grass,,,,,1,1,,,,1,,,,,,,,
Response:,bear,grass,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,If I hear a joke it makes me laugh,The fireman came to put out the fire,,,,,,,,,,,,,,,,,,
Presentation Time:,2.5,2.083333,,,,,SP1,SP2,,,,Trial Correct,,,,,,,,
Target: ,laugh,fire,,,,,1,1,,,,1,,,,,,,,
Response:,laugh,fire,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,I paint on paper with a paint brush,To make a snowman you need snow,,,,,,,,,,,,,,,,,,
Presentation Time:,2.633333,2.1,,,,,SP1,SP2,,,,Trial Correct,,,,,,,,
Target: ,brush,snow,,,,,1,1,,,,1,,,,,,,,
Response:,brush,snow,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
List Length Two Score:,03-Mar,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,3,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,The next number after four is five,Twinkle twinkle goes the little star,At night I go to bed and fall asleep,,,,,,,,,,,,,,,,,
Presentation Time:,2.6,2.283333,2.516667,,,,SP1,SP2,SP3,,,Trial Correct,,,,,,,,
Target: ,five,star,asleep,,,,1,1,1,,,1,,,,,,,,
Response:,five,star,asleep,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,3,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,The bus driver's job is to drive the bus,The big spider has eight hairy legs,I went to the cinema and watched a film,,,,,,,,,,,,,,,,,
Presentation Time:,3.166667,2.533333,2.233333,,,,SP1,SP2,SP3,,,Trial Correct,,,,,,,,
Target: ,bus,legs,film,,,,1,1,1,,,1,,,,,,,,
Response:,bus,legs,film,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,3,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,The mother chicken laid an egg,We see things with our eyes,Food and water makes plants grow,,,,,,,,,,,,,,,,,
Presentation Time:,2.533333,1.883333,2.566667,,,,SP1,SP2,SP3,,,Trial Correct,,,,,,,,
Target: ,egg,eyes,grow,,,,0,0,1,,,0,,,,,,,,
Response:,food,eggs,grow,,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
List Length Three Score:,02-Mar,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,4,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,'Moo moo' said the black and white cow,I can smell lots of smells with my nose,The window in my house is made of glass,I wear shoes and socks on my feet,,,,,,,,,,,,,,,,
Presentation Time:,2.333333,2.5,2.416667,2.283333,,,SP1,SP2,SP3,SP4,,Trial Correct,,,,,,,,
Target: ,cow,nose,glass,feet,,,1,1,0,1,,0,,,,,,,,
Response:,cow,nose,smell,feet,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,4,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,The dog was so happy he wagged his tail,They played soccer with a foot ball,Jane skips with a skipping rope,Mary got home and unlocked the door,,,,,,,,,,,,,,,,
Presentation Time:,3.216667,2.316667,2.25,2.066667,,,SP1,SP2,SP3,SP4,,Trial Correct,,,,,,,,
Target: ,tail,ball,rope,door,,,0,0,0,1,,0,,,,,,,,
Response:,dk,dk,dk,door,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,4,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,A mother cat has baby kittens,The football team scored the winning goal,The complete opposite of long is short,My friends and I play hide and seek,,,,,,,,,,,,,,,,
Presentation Time:,2.583333,2.416667,3.1,2.533333,,,SP1,SP2,SP3,SP4,,Trial Correct,,,,,,,,
Target: ,kittens,goal,short,seek,,,0,0,0,1,,0,,,,,,,,
Response:,dk,kitten,dk,seek,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
List Length Four Score:,0/3,,,,,,,,,,,,,,,,,,,
