PARTICIPANT DETAILS----------------------------------------------,,,,,,,,,,,,,,,,,,,,
NAME:,P5 BSE,,,,,,,,,,,,,,,,,,,
AGE:,20,,,,,,LL2,,LL3,,,LL4,,,,LL5,,,,
SCHOOL/COLLEGE:,UG2,,,,,,SP1,SP2,SP1,SP2,SP3,SP1,SP2,SP3,SP4,SP1,SP2,SP3,SP4,SP5
DATE:,Wednesday, May 25,2005,,,T1,1,1,1,1,1,1,1,0,0,-,-,-,-,-
TIME:,11:10 am,,,,,T2,1,1,0,0,1,1,1,0,1,-,-,-,-,-
EXPERIMENT:,Verbal Recall,,,,,T3,1,1,1,1,1,1,1,0,0,-,-,-,-,-
SELECTED SET:,Random Sentences A,,,,,,,,,,,,,,,,,,,
SELECTED ORDER:,Order A,,,,,,,,,,,,,,,,,,,
DIRECTION:,Ascending,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PRACTICE RESULTS----------------------------------------------,,,,,,,,,,,,,,,,,,,,
Task:,Verbal Recall,,,,,,,,,,,,,,,,,,,
List Length 2:,Correct(6.033333,3.716667),Correct(3.75,2.55),,,,,,,,,,,,,,,,
Task:,Word Task,,,,,,,,,,,,,,,,,,,
List Length 2:,Not completed,Not completed,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PRACTICE STAGE---------------------------------------------------,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
First Stage PRACTICE Results,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,An insect that buzzes is called a bee,A spider catches flies in its web,,,,,,,,,,,,,,,,,,
Presentation Time:,6.033333,3.716667,,,,,,,,,,,,,,,,,,
Target: ,bee,web,,,,,,,,,,,,,,,,,,
Response:,bee,web,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,The cat sat on the mat,The cow jumped over the moon,,,,,,,,,,,,,,,,,,
Presentation Time:,3.75,2.55,,,,,,,,,,,,,,,,,,
Target: ,mat,moon,,,,,,,,,,,,,,,,,,
Response:,mat,moon,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
List Length Two Score:,02-Feb,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
MAIN EXPERIMENT-------------------------------------------,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
First Stage Results:,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,They played soccer with a foot ball,The cat likes drinking milk,,,,,,,,,,,,,,,,,,
Presentation Time:,3.033333,2.633333,,,,,SP1,SP2,,,,Trial Correct,,,,,,,,
Target: ,ball,milk,,,,,1,1,,,,1,,,,,,,,
Response:,ball,milk,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,The colour of a banana is bright yellow,The grass in the fields is coloured green,,,,,,,,,,,,,,,,,,
Presentation Time:,3.7,3.783333,,,,,SP1,SP2,,,,Trial Correct,,,,,,,,
Target: ,yellow,green,,,,,1,1,,,,1,,,,,,,,
Response:,yellow,green,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,The big spider has eight hairy legs,The bus driver's job is to drive the bus,,,,,,,,,,,,,,,,,,
Presentation Time:,4.2,3.983333,,,,,SP1,SP2,,,,Trial Correct,,,,,,,,
Target: ,legs,bus,,,,,1,1,,,,1,,,,,,,,
Response:,legs,bus,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
List Length Two Score:,03-Mar,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,3,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,We wear a coat when we are cold,I am very thirsty and I really want a drink,I have a tooth brush to help clean my teeth,,,,,,,,,,,,,,,,,
Presentation Time:,3.4,4.166667,4.283333,,,,SP1,SP2,SP3,,,Trial Correct,,,,,,,,
Target: ,cold,drink,teeth,,,,1,1,1,,,1,,,,,,,,
Response:,cold,drink,teeth,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,3,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,Food and water makes plants grow,If I hear a joke it makes me laugh,The football team scored the winning goal,,,,,,,,,,,,,,,,,
Presentation Time:,3.4,2.966667,3.333333,,,,SP1,SP2,SP3,,,Trial Correct,,,,,,,,
Target: ,grow,laugh,goal,,,,0,0,1,,,0,,,,,,,,
Response:,grass,yellow,goal,,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,3,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,Ben laughed and then clapped his hands,'Moo moo' said the black and white cow,The complete opposite of long is short,,,,,,,,,,,,,,,,,
Presentation Time:,2.933333,2.783333,3.833333,,,,SP1,SP2,SP3,,,Trial Correct,,,,,,,,
Target: ,hands,cow,short,,,,1,1,1,,,1,,,,,,,,
Response:,hands,cow,short,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
List Length Three Score:,02-Mar,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,4,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,We see things with our eyes,The dog was so happy he wagged his tail,You can build a house with bricks,The next number after four is five,,,,,,,,,,,,,,,,
Presentation Time:,2.633333,2.983333,2.5,2.95,,,SP1,SP2,SP3,SP4,,Trial Correct,,,,,,,,
Target: ,eyes,tail,bricks,five,,,1,1,0,0,,0,,,,,,,,
Response:,eyes,tail,wags,bricks,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,4,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,Jane skips with a skipping rope,Twinkle twinkle goes the little star,After lunch Jack and Jill went up the hill,I went to the cinema and watched a film,,,,,,,,,,,,,,,,
Presentation Time:,3.883333,3.35,3.6,2.833333,,,SP1,SP2,SP3,SP4,,Trial Correct,,,,,,,,
Target: ,rope,star,hill,film,,,1,1,0,1,,0,,,,,,,,
Response:,rope,star,watched,film,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,4,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,I can smell lots of smells with my nose,The fireman came to put out the fire,Mum likes to sit down in an arm chair,The next number after eight is nine,,,,,,,,,,,,,,,,
Presentation Time:,3.55,3.116667,3.366667,3.166667,,,SP1,SP2,SP3,SP4,,Trial Correct,,,,,,,,
Target: ,nose,fire,chair,nine,,,1,1,0,0,,0,,,,,,,,
Response:,nose,fire,dk,five,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
List Length Four Score:,0/3,,,,,,,,,,,,,,,,,,,
